date,value
15-05-2011,$1.10
08-05-2011,$1.10
01-05-2011,$1.02
24-04-2011,$0.90
17-04-2011,$1.06
10-04-2011,$1.31
03-04-2011,$1.31
27-03-2011,$1.31
20-03-2011,$1.40
13-03-2011,$1.25
06-03-2011,$1.27
27-02-2011,$1.50
20-02-2011,$1.44
13-02-2011,$1.50
06-02-2011,$2.00
30-01-2011,$2.00
16-01-2011,$2.75
09-01-2011,$2.88
02-01-2011,$3.75
12-12-2010,$3.19
05-12-2010,$3.00
28-11-2010,$2.75
21-11-2010,$2.50
14-11-2010,$2.63
07-11-2010,$2.25
31-10-2010,$2.28
24-10-2010,$1.88
17-10-2010,$1.35
10-10-2010,$1.15
03-10-2010,$0.26
26-09-2010,$0.94
19-09-2010,$0.84
12-09-2010,$0.94
05-09-2010,$0.88
29-08-2010,$0.94
22-08-2010,$1.03
15-08-2010,$1.16
08-08-2010,$1.16
01-08-2010,$0.97
25-07-2010,$0.97
18-07-2010,$0.79
11-07-2010,$0.96
04-07-2010,$0.97
27-06-2010,$0.96
20-06-2010,$0.85
13-06-2010,$0.72
06-06-2010,$0.83
30-05-2010,$1.02
23-05-2010,$1.13
16-05-2010,$1.12
09-05-2010,$1.11
02-05-2010,$1.13
25-04-2010,$1.16
18-04-2010,$1.08
11-04-2010,$1.03
04-04-2010,$0.81
28-03-2010,$0.79
21-03-2010,$0.86
14-03-2010,$1.06
07-03-2010,$1.66
28-02-2010,$1.75
21-02-2010,$1.91
14-02-2010,$0.80
07-02-2010,$2.60
31-01-2010,$2.44
24-01-2010,$2.38
17-01-2010,$2.50
10-01-2010,$2.94
03-01-2010,$2.91
27-12-2009,$2.88
20-12-2009,$2.88
13-12-2009,$2.81
06-12-2009,$2.13
29-11-2009,$1.72
22-11-2009,$1.51
15-11-2009,$1.52
08-11-2009,$1.54
01-11-2009,$2.08
25-10-2009,$2.07
18-10-2009,$1.86
11-10-2009,$1.75
04-10-2009,$1.39
27-09-2009,$1.33
20-09-2009,$1.19
13-09-2009,$1.05
06-09-2009,$0.32
30-08-2009,$1.09
23-08-2009,$1.00
16-08-2009,$1.08
09-08-2009,$1.12
